TEST_ID,DESCRICAO,RESULTADO,EVIDENCIA
"T001","Sistemas oficiais = 100,200,300,400,600,700","APROVADO","Encontrados: 100,200,300,400,600,700"
"T002","Sistema 500 ausente","APROVADO","Presença de 500: NÃO"
"T003","Reservatórios físicos = 97","APROVADO","Encontrados: 97"
"T004","Unidades operacionais = 89","APROVADO","Encontrados: 89"
"T005","Relações de fluxo normal = 142","APROVADO","Encontrados: 142"
"T006","Interligações de emergência = 2","APROVADO","Encontrados: 2"
"T007","VRP fora da base principal","APROVADO","Nenhum VRP encontrado em unidades, conjuntos, reservatórios ou relações."
"T008","IN LINE fora de reservatórios físicos","APROVADO","IN LINE em reservatórios: NÃO"
"T009","Interligações de emergência fora de FLUXO_NORMAL","APROVADO","Emergências encontradas: 2; emergências em FLUXO_NORMAL: 0"
"T010","ETA/RES como conjunto","APROVADO","Conjuntos ETA/RES encontrados: 3"
"T011","EBAT/RES como conjunto","APROVADO","Conjuntos EBAT/RES encontrados: 33"
"T012","RES SÃO JOSÉ V = 2 x 530 m³, total 1060 m³","APROVADO","Encontrado: capacidade 530, quantidade física 2, total 1060"
"T013","BELÉM NOVO R1 = 2500 m³","APROVADO","Encontrado: 2500 m³"
"T014","BELÉM NOVO R2 = 1500 m³","APROVADO","Encontrado: 1500 m³"
"T015","RES DOLORES DURAN II = sistema 300, 5000 m³, fluxo normal","APROVADO","Sistema 300, capacidade 5000, fluxo normal SIM"
"T016","Bloqueantes restantes = 0","APROVADO","bloqueantesRestantes = 0"